"external_id","week","mo","tu","we","th","fr","sa","n","n_lowq","q2","n_full","n_obs","q4","week_q"
"bb8d0",6,NA,4,NA,4,2,2,5,2,4,23,36,NA,"NA,4,NA,4,2,2"
"bd209",6,4,4,4,4,2,2,7,2,3,23,36,NA,"4,4,4,4,2,2"
"c05b7",6,4,4,4,4,2,2,7,2,4,23,36,NA,"4,4,4,4,2,2"
"c42b6",6,4,4,4,4,2,2,7,2,5,23,36,NA,"4,4,4,4,2,2"
"d45b5",6,4,4,4,4,2,2,7,2,4,23,36,NA,"4,4,4,4,2,2"
"f0ed7",6,4,NA,NA,4,2,2,5,2,3,23,36,NA,"4,NA,NA,4,2,2"
"f1308",6,4,4,4,4,NA,2,6,1,1,23,36,"Jeśli dobrze pamiętam, początkiem tygodnia wyświetlane filmy były złej jakości. W sobotę była o wiele lepsza jakość, ale nie jestem w stanie powiedzieć jaka dokładnie.","4,4,4,4,NA,2"
"f75f6",6,4,4,4,4,2,2,7,2,4,23,36,"Pn wspaniała
Wt - wspaniała
Śr - wspaniała 
Czw -dobra
Pt - zła
SB - zła","4,4,4,4,2,2"
"f7c29",6,4,4,4,4,2,2,7,2,3,23,36,NA,"4,4,4,4,2,2"
"f865c",6,4,4,4,4,2,2,7,2,4,23,36,NA,"4,4,4,4,2,2"
"00c2c",7,2,2,4,4,4,4,7,2,5,26,35,NA,"2,2,4,4,4,4"
"023ce",7,2,2,4,4,4,4,7,2,4,26,35,NA,"2,2,4,4,4,4"
"0d293",7,2,2,4,4,4,4,7,2,4,26,35,NA,"2,2,4,4,4,4"
"27e23",7,2,2,NA,4,4,4,6,2,5,26,35,NA,"2,2,NA,4,4,4"
"343ab",7,2,2,4,4,4,4,7,2,4,26,35,NA,"2,2,4,4,4,4"
"365cd",7,NA,2,4,4,4,NA,5,1,4,26,35,NA,"NA,2,4,4,4,NA"
"3adab",7,2,2,4,NA,4,4,6,2,4,26,35,NA,"2,2,4,NA,4,4"
"40c71",7,2,2,4,4,4,4,7,2,4,26,35,"Jakosc filmow poprawiala sie w ciagu tygodnia: pon 3/5, wt 3/5, śr 4/5, czw 4/5, pt 5/5","2,2,4,4,4,4"
"50bf3",7,2,NA,NA,4,4,4,5,1,4,26,35,NA,"2,NA,NA,4,4,4"
"54ed7",7,2,2,4,4,4,4,7,2,4,26,35,NA,"2,2,4,4,4,4"
"5542e",7,2,2,4,NA,4,4,6,2,4,26,35,NA,"2,2,4,NA,4,4"
"559e2",7,2,2,4,4,4,4,7,2,4,26,35,NA,"2,2,4,4,4,4"
"57ea9",7,2,2,4,4,4,4,7,2,5,26,35,"Poniedziałek i wtorek dobra reszta wspaniała","2,2,4,4,4,4"
"5870e",7,2,2,4,4,4,4,7,2,4,26,35,NA,"2,2,4,4,4,4"
"5aa56",7,2,2,4,4,4,4,7,2,5,26,35,NA,"2,2,4,4,4,4"
"5c3d1",7,2,2,4,4,4,NA,6,2,4,26,35,NA,"2,2,4,4,4,NA"
"7d03b",7,2,2,4,4,4,4,7,2,4,26,35,"Poniedziałek-Wtorek - słaba jakość 
Środa- Sobota - dobra jakość","2,2,4,4,4,4"
